feature,min,max,media,std,nan,inf,validos,es_constante
amplitude,0.020499706268310547,3.9790000915527344,0.22911478886929187,0.1553353686759967,0,0,1790565,False
beyond_1_std,0.0014513788046315312,0.7583697438240051,0.2959632874651422,0.02454622961205115,0,0,1790565,False
beyond_2_std,0.0,0.1358024626970291,0.0474393148060939,0.006845371596784651,0,0,1790565,False
cusum,0.019831249490380287,0.48161858320236206,0.07461887116594351,0.036770142044847326,0,0,1790565,False
eta,0.0017999905394390225,2.6175663471221924,1.881817957170913,0.18790013822353824,0,0,1790565,False
eta_e,14616323.0,519641628672.0,346426618349.7046,67563537449.26094,0,0,1790565,False
inter_percentile_range_25,0.006999969482421875,1.7670001983642578,0.08339546965129599,0.05936447784012077,0,0,1790565,False
inter_percentile_range_10,0.01399993896484375,5.477499008178711,0.16372415447355743,0.11655334996871106,0,0,1790565,False
kurtosis,-1.8852752447128296,658.8773803710938,1.397174264175561,8.311504490476695,0,0,1790565,False
linear_fit_slope,-0.030542192980647087,0.026083379983901978,-6.418882411043242e-05,0.00016636065839105546,0,0,1790565,False
linear_fit_slope_sigma,6.157856205390999e-06,0.00021620022016577423,4.641659412837515e-05,3.2978608823710523e-05,0,0,1790565,False
linear_fit_reduced_chi2,0.3938309848308563,7897.38232421875,1.6297769176490728,10.185461941417243,0,0,1790565,False
linear_trend,-0.039907265454530716,0.02337360940873623,-3.821010385012044e-05,0.00014118506163655998,0,0,1790565,False
linear_trend_sigma,4.776523837790592e-06,0.000952471571508795,5.3081476188529176e-05,3.855172292835649e-05,0,0,1790565,False
magnitude_percentage_ratio_40_5,0.001521268393844366,0.8757585883140564,0.14521001168060785,0.016501705832985773,0,0,1790565,False
magnitude_percentage_ratio_20_10,0.009949902072548866,0.978765070438385,0.6429370378711807,0.028549602521287163,0,0,1790565,False
maximum_slope,39.32291793823242,10483.419921875,698.6961138519046,495.3152419343423,0,0,1790565,False
mean,12.297796249389648,20.172945022583008,18.22793130559781,1.4435155782861209,0,0,1790565,False
median_absolute_deviation,0.0030002593994140625,0.7249994277954102,0.04156010672861383,0.02943785452785814,0,0,1790565,False
median_buffer_range_percentage_5,0.545592725276947,1.0,0.9999734766931438,0.0014352546187694595,0,0,1790565,False
percent_amplitude,0.021999359130859375,7.7239990234375,0.26041845772931105,0.18332663740922742,0,0,1790565,False
percent_difference_magnitude_percentile_5,0.0013871088158339262,0.41197773814201355,0.011283477994897316,0.007586596629311326,0,0,1790565,False
percent_difference_magnitude_percentile_20,0.0006586537347175181,0.13773058354854584,0.005520485722665519,0.0037143644174718695,0,0,1790565,False
period_0,0.001957211410626769,518.0084228515625,15.830646126262936,77.33286583576374,0,0,1790565,False
period_s_to_n_0,3.4289519786834717,255.91180419921875,13.074403026654007,5.2157204979507865,0,0,1790565,False
period_1,0.0019613641779869795,517.8556518554688,6.460687212471776,48.466834761736074,0,0,1790565,False
period_s_to_n_1,3.338144063949585,177.71690368652344,12.521427793981465,4.550671991623705,0,0,1790565,False
period_2,0.0019208749290555716,517.9970703125,4.466730511400074,37.77885743885371,0,0,1790565,False
period_s_to_n_2,3.3183093070983887,173.92385864257812,12.024179634810753,4.0368629574723585,0,0,1790565,False
periodogram_amplitude,1.2701308727264404,278.3627624511719,7.236347437037927,10.273018834922173,0,0,1790565,False
periodogram_beyond_1_std,0.010262489318847656,0.4207344055175781,0.11598190001493786,0.02287421578072357,0,0,1790565,False
periodogram_beyond_2_std,0.008157730102539062,0.07310676574707031,0.04656125205031565,0.008276750342348852,0,0,1790565,False
periodogram_cusum,0.04556352645158768,0.4316060245037079,0.16687653056494786,0.023816387114644292,0,0,1790565,False
periodogram_eta,0.00043062210897915065,0.28679829835891724,0.028917451251724024,0.012010232724809259,0,0,1790565,False
periodogram_inter_percentile_range_25,0.09768417477607727,3.8651154041290283,0.7451339941107653,0.06254563034611924,0,0,1790565,False
periodogram_standard_deviation,0.23614805936813354,19.39763832092285,0.9419697812926598,0.7970201800154569,0,0,1790565,False
periodogram_percent_amplitude,1.804125189781189,556.6439208984375,14.0424276795505,20.560137057173833,0,0,1790565,False
chi2,0.3969259560108185,9763.0654296875,1.7002955820514565,19.083279939245454,0,0,1790565,False
skew,-24.15060806274414,25.561847686767578,0.13347154477821577,0.5966640605503116,0,0,1790565,False
standard_deviation,0.006202807649970055,1.8680258989334106,0.06552832842108282,0.04615862760674871,0,0,1790565,False
stetson_K,0.15012496709823608,0.9830300807952881,0.7798811594358571,0.028144258379960648,0,0,1790565,False
weighted_mean,12.299689292907715,20.142271041870117,18.218334902688515,1.435655658479699,0,0,1790565,False
