feature,median_M31,median_DEEP,median_DISK,KW_stat,KW_pvalue,M31_DEEP_KS,M31_DEEP_KS_pvalue,M31_DEEP_AUC,M31_DEEP_median_diff_IQR,M31_DISK_KS,M31_DISK_KS_pvalue,M31_DISK_AUC,M31_DISK_median_diff_IQR,DEEP_DISK_KS,DEEP_DISK_KS_pvalue,DEEP_DISK_AUC,DEEP_DISK_median_diff_IQR,AUC_media,KS_media,diferencia_mediana_media,ranking_AUC
eta_e,3874162688.0,6037553408.0,359033651200.0,103219.53414963657,0.0,0.32504,0.0,0.6590337902000001,0.007113452908884314,0.99844,0.0,0.9996886304000001,1.167801208222596,0.9980399999999999,0.0,0.9995346900000001,1.1606877553137116,0.8860857035333334,0.77384,0.778534138815064,1
cusum,0.12988661974668503,0.10966935381293297,0.06554387509822845,50755.66484412804,0.0,0.18880000000000002,0.0,0.6332620706000001,0.29148209797486085,0.6259,0.0,0.8844668952,0.9276604591861466,0.45706,0.0,0.7982343046,0.6361783612112857,0.7719877568000001,0.42392,0.6184403061240977,2
linear_trend_sigma,0.00024062383454293013,0.00015138619346544147,4.325075133237988e-05,47123.16507010148,0.0,0.18832000000000004,0.0,0.6321684246,0.39994688724506566,0.66282,0.0,0.8685289065999999,0.884590283908056,0.53538,0.0,0.7885171047999999,0.48464339666299044,0.7630714786666667,0.4621733333333333,0.589726855938704,3
linear_fit_slope_sigma,0.00021005486632930115,0.00013627903535962105,3.7982485082466155e-05,45797.04476076341,0.0,0.20045999999999997,0.0,0.6304303553999999,0.3728136819533111,0.64208,0.0,0.8618596506,0.8695386710245359,0.5272000000000001,0.0,0.7864271654,0.4967249890712248,0.7595723904666666,0.45658000000000004,0.5796924473496906,4
period_2,0.9129788875579834,0.7249037027359009,0.03546580858528614,51372.52884658351,0.0,0.06951999999999997,1.6629465623277575e-105,0.5219827624,0.20173420686407517,0.59304,0.0,0.8655603402000001,0.9412427544169274,0.55564,0.0,0.8503743012,0.7395085475528522,0.7459724679333334,0.40606666666666663,0.6274951696112849,5
period_1,0.9852472543716431,0.9672731757164001,0.036819884553551674,50585.307770792606,0.0,0.07939999999999992,1.546470342125895e-137,0.5200017286,0.018968166018298316,0.5919000000000001,0.0,0.8627943046,1.0008817782579373,0.5509200000000001,0.0,0.847730609,0.9819136122396391,0.7435088807333333,0.4074066666666667,0.6672545188386249,6
period_0,0.9988852143287659,0.994470626115799,0.0390929002314806,46255.79380191367,0.0,0.1406400000000001,0.0,0.5052934654,0.002036994471718787,0.5865,0.0,0.8466993644,0.4428706695840132,0.54254,0.0,0.8332777564,0.44083367511229443,0.7284235287333333,0.4232266666666667,0.2952471130560088,7
period_s_to_n_2,8.084977626800537,9.640779972076416,10.857940673828125,29109.995061484915,0.0,0.26804000000000006,0.0,0.6401907162,0.4130997044398842,0.53612,0.0,0.8225575904000001,0.7362826123948878,0.26878,0.0,0.6490756356,0.32318290795500354,0.7039413140666667,0.35764666666666667,0.49085507492992514,8
weighted_mean,19.711009979248047,20.139575958251953,18.57747173309326,28013.996204145587,0.0,0.19600000000000006,0.0,0.6029678712000001,0.19939987109985546,0.40162,0.0,0.727814518,0.5274039266844376,0.5403,0.0,0.7800483168,0.726803797784293,0.7036102353333332,0.3793066666666667,0.4845358651895287,9
mean,19.750646591186523,20.171598434448242,18.582468032836914,28149.901536422443,0.0,0.19104,0.0,0.5998894426,0.1926331564692708,0.40525999999999995,0.0,0.7304029792,0.5345740293497169,0.53918,0.0,0.7802191802,0.7272071858189877,0.7035038673333333,0.3784933333333333,0.4848047905459918,10
stetson_K,0.7549385130405426,0.7614248394966125,0.7843406796455383,30231.751755080557,0.0,0.14282000000000003,0.0,0.5538134148,0.16433119480168434,0.5003599999999999,0.0,0.7648054339999999,0.7449044078618031,0.48972000000000004,0.0,0.7825776582,0.5805732130601188,0.7003988356666667,0.3776333333333333,0.4966029385745354,11
maximum_slope,268.6979064941406,334.23541259765625,587.6416625976562,22781.578168819127,0.0,0.1385,0.0,0.5772695866,0.185189795496262,0.44254,0.0,0.7523763938000001,0.9012416321476612,0.42852,0.0,0.7113831988,0.7160518366513992,0.6803430597333334,0.33652,0.6008277547651074,12
period_s_to_n_1,8.644718647003174,10.123746395111084,11.218195915222168,22563.483164777823,0.0,0.22931999999999997,0.0,0.6282424342,0.3726136120099526,0.46818,0.0,0.782801644,0.6483398716239788,0.24246,0.0,0.6288982945999999,0.2757262596140262,0.6799807909333332,0.31332,0.4322265810826525,13
skew,-0.13409247249364853,-0.22795036435127258,0.1581423655152321,24227.631326104056,0.0,0.14882000000000006,0.0,0.5504436382000001,0.16279642107168965,0.4095599999999999,0.0,0.678025541,0.5068810389698334,0.5314399999999999,0.0,0.7974699038,0.669677460041523,0.6753130276666668,0.36327333333333334,0.44645164002768195,14
eta,1.7037559151649475,1.6963143944740295,1.9180204272270203,25318.508100814233,0.0,0.03276000000000001,9.58437497755807e-24,0.5035833921999999,0.021208960704356027,0.43314,0.0,0.7412742712,0.6106719050326179,0.44604,0.0,0.7616510573999999,0.6318808657369739,0.6688362402666667,0.30398,0.42125391049131594,15
standard_deviation,0.13078723847866058,0.14190532267093658,0.05475461110472679,23708.828005746378,0.0,0.05896000000000001,5.4915460871192497e-76,0.5167567960000001,0.08506111175234568,0.39492000000000005,0.0,0.7396081724,0.5817027198239523,0.44674,0.0,0.7467446334000001,0.6667638315762979,0.6677032006000001,0.3002066666666667,0.44450922105086527,16
amplitude,0.4089999198913574,0.4694995880126953,0.194000244140625,21306.873682242935,0.0,0.09716000000000002,7.14536146683543e-206,0.5352659886,0.15592716672360862,0.34343999999999997,0.0,0.7131856656,0.554123540298933,0.43642,0.0,0.7446386464,0.7100507070225417,0.6643634335333334,0.29234,0.4733671380150278,17
period_s_to_n_0,9.319200992584229,10.764823913574219,11.598670482635498,18376.958352323494,0.0,0.22626000000000002,0.0,0.6419567643999999,0.36625905321083185,0.40076,0.0,0.7490334362,0.5775201299917245,0.17481999999999998,0.0,0.5986888094,0.21126107678089268,0.6632263366666666,0.26728,0.385013419994483,18
inter_percentile_range_10,0.30990028381347656,0.3446998596191406,0.1361980438232422,21515.59168786642,0.0,0.07372000000000001,1.3368744063787146e-118,0.525610847,0.10980330794125569,0.35662000000000005,0.0,0.7242556767999999,0.5480837080959252,0.42286,0.0,0.7380724062,0.6578870160371809,0.66264631,0.28440000000000004,0.4385913440247873,19
percent_difference_magnitude_percentile_5,0.021083923056721687,0.02282803412526846,0.00963321328163147,22311.01245088219,0.0,0.06020000000000003,3.3554682446823537e-79,0.5142596418000001,0.08658115383520247,0.37072000000000005,0.0,0.732156178,0.5684360832509423,0.42399999999999993,0.0,0.7397308363999999,0.6550172370861448,0.6620488854000001,0.28497333333333336,0.4366781580574299,20
percent_amplitude,0.4660015106201172,0.5229988098144531,0.21899986267089844,21300.66230566757,0.0,0.07495999999999997,1.295662766010423e-122,0.5249333622,0.12808390625267888,0.356,0.0,0.7182591928,0.5550602636857715,0.4287,0.0,0.7413427732,0.6831441699384505,0.6615117760666666,0.2865533333333333,0.4554294466256336,21
median_absolute_deviation,0.07599973678588867,0.08600044250488281,0.034999847412109375,20471.723891056405,0.0,0.07942000000000005,1.318765101133651e-137,0.5292079444,0.12659351006808633,0.33626,0.0,0.7160348678,0.5189953643343473,0.41157999999999995,0.0,0.734249363,0.6455888744024337,0.6598307250666666,0.27575333333333335,0.43039258293495575,22
inter_percentile_range_25,0.15250015258789062,0.17274856567382812,0.06974983215332031,20520.362565421354,0.0,0.07828000000000002,1.0842664088778734e-133,0.5284475548,0.12795294571401022,0.33828,0.0,0.7167838230000001,0.5229124481727895,0.41124000000000005,0.0,0.7341758091999999,0.6508653938867998,0.6598023956666667,0.27593333333333336,0.43391026259119975,23
beyond_1_std,0.2746114134788513,0.28354430198669434,0.2986822724342346,16526.51515476475,0.0,0.17122,0.0,0.5808031616,0.24286212009496108,0.41488,0.0,0.7132788097999999,0.6544243592963807,0.31554000000000004,0.0,0.6768390446,0.41156223920141954,0.6569736719999999,0.3005466666666667,0.4362829061975871,24
percent_difference_magnitude_percentile_20,0.009697286412119865,0.010781637858599424,0.00471182563342154,20041.35945270591,0.0,0.07224000000000008,6.736960608783351e-114,0.5218238022,0.11434051645754444,0.33320000000000005,0.0,0.716141843,0.5256968689126417,0.40124000000000004,0.0,0.7302900968,0.6400373853701862,0.6560852473333334,0.2688933333333334,0.42669159024679076,25
periodogram_eta,0.0354324784129858,0.030765599571168423,0.026905454695224762,13148.694670746718,0.0,0.2078,0.0,0.5334352188,0.27460066979568976,0.33514,0.0,0.7052964077999999,0.5017328505038017,0.23030000000000006,0.0,0.6504404598,0.22713218070811192,0.6297240288,0.2577466666666667,0.33448856700253443,26
kurtosis,1.1902592182159424,0.9105684757232666,0.5091819763183594,10314.406640149215,0.0,0.1462,0.0,0.5659192328,0.2220304108234876,0.3314,0.0,0.6694167162,0.5406680910256019,0.25416,0.0,0.6375164395999999,0.31863768020211425,0.6242841295333333,0.24392,0.36044539401706793,27
periodogram_cusum,0.16008928418159485,0.1542581245303154,0.16799133270978928,8389.26888928996,0.0,0.1467400000000001,0.0,0.5772872146,0.19940093985156362,0.13837999999999995,0.0,0.5872830234,0.2702165602563987,0.2846200000000001,0.0,0.6684039293999999,0.46961750010796227,0.6109913891333333,0.18991333333333338,0.3130783334053082,28
periodogram_percent_amplitude,7.936981916427612,9.21854543685913,9.422520637512207,8861.12924574018,0.0,0.20898,0.0,0.632582165,0.30327199559902257,0.23402000000000003,0.0,0.6603467954,0.35154113338935267,0.06034000000000006,1.4410312464287147e-79,0.5319803114,0.048269137790330076,0.6083030905999999,0.16778000000000004,0.23436075559290173,29
periodogram_amplitude,4.198155879974365,4.834105968475342,4.926412343978882,8641.552608615633,0.0,0.20714000000000005,0.0,0.6321131644,0.30017540170140633,0.22894000000000003,0.0,0.6576840232000001,0.3437450211532848,0.06032000000000004,1.6261691909316202e-79,0.5299377397999999,0.043569619451878476,0.6065783091333333,0.1654666666666667,0.22916334743552316,30
periodogram_beyond_2_std,0.048675537109375,0.0470428466796875,0.049109458923339844,5423.400423852038,0.0,0.17400000000000004,0.0,0.6134593466,0.26390226983698795,0.0656199999999999,4.896625579163353e-94,0.5139608618,0.07013757755597518,0.22848000000000002,0.0,0.6186378332,0.3340398473929631,0.5820193472,0.15603333333333333,0.22269323159530874,31
periodogram_inter_percentile_range_25,0.7699642777442932,0.7461963295936584,0.7448508739471436,4292.001479717859,0.0,0.15744000000000002,0.0,0.569421239,0.2748128218416787,0.19132000000000005,0.0,0.6206127528000001,0.2903694218703481,0.10704000000000002,6.870533641181796e-250,0.5458572848,0.01555660002866941,0.5786304255333333,0.15193333333333336,0.1935796145802321,32
magnitude_percentage_ratio_40_5,0.13677915930747986,0.1396813467144966,0.14464940875768661,3745.683639514308,0.0,0.10532000000000002,6.442180388579536e-242,0.535454981,0.11389758092093807,0.25736,0.0,0.6044505606,0.30887129185924334,0.17292000000000002,0.0,0.5813151794,0.19497371093830523,0.5737402403333334,0.17853333333333335,0.2059141945728289,33
linear_trend,-4.809530946658924e-05,2.0660097106883768e-05,-2.4275482246594038e-05,3120.9650043162846,0.0,0.17552,0.0,0.5788049324,0.3510944105106389,0.22336,0.0,0.5355933568,0.1216341901393988,0.28626000000000007,0.0,0.5949796622,0.2294602203712401,0.5697926504666667,0.22838000000000003,0.23406294034042593,34
periodogram_beyond_1_std,0.121856689453125,0.118194580078125,0.12164783477783203,3787.910266240859,0.0,0.16324000000000005,0.0,0.6075666554,0.237741456166419,0.06410000000000002,9.548202908464771e-90,0.510847645,0.013558692421991085,0.18921999999999994,0.0,0.5854054040000001,0.22418276374442794,0.5679399014666667,0.13885333333333336,0.158494304110946,35
linear_fit_reduced_chi2,1.1297038197517395,1.2515668272972107,1.1864365935325623,2712.037553702221,0.0,0.22952,0.0,0.5845977648,0.28358213716683617,0.26686,0.0,0.5441740982,0.1320203855149828,0.21928000000000003,0.0,0.5686913316,0.15156175165185337,0.5658210648666666,0.2385533333333333,0.1890547581112241,36
chi2,1.1454103589057922,1.2645872235298157,1.1938202381134033,2608.1695609031317,0.0,0.22513999999999998,0.0,0.5815581172,0.26900358047003137,0.26388,0.0,0.5388795822,0.10926978888102139,0.22420000000000007,0.0,0.5718405186,0.15973379158901,0.5640927393333334,0.23774000000000003,0.17933572031335424,37
linear_fit_slope,-4.352325413492508e-05,1.919155056384625e-05,-3.578573523554951e-05,3273.8135307024813,0.0,0.15286000000000005,0.0,0.5652133908,0.2787242072013953,0.24170000000000003,0.0,0.5029648806,0.03438795402924248,0.31723999999999997,0.0,0.6130421234000001,0.2443362531721528,0.5604067982666666,0.23726666666666665,0.18581613813426354,38
magnitude_percentage_ratio_20_10,0.6329347491264343,0.6361092925071716,0.6430070698261261,1934.3182796044607,0.0,0.08806000000000003,3.9571823324767583e-169,0.5205809496,0.06669530165035183,0.22790000000000002,0.0,0.5734697194,0.21161357298226677,0.15450000000000003,0.0,0.5622874414000001,0.14491827133191496,0.5521127034666667,0.15682000000000001,0.1410757153215112,39
periodogram_standard_deviation,0.825742781162262,0.8234365284442902,0.797244518995285,1955.1972591455185,0.0,0.07826000000000001,1.2685619905924237e-133,0.5198339344,0.013097068768200246,0.0952,1.1897198620016598e-197,0.555804887,0.16183989571764693,0.15934000000000004,0.0,0.5792004386,0.14874282694944668,0.5516130866666668,0.11093333333333334,0.10789326381176462,40
beyond_2_std,0.04918032884597778,0.049504950642585754,0.04776579514145851,1543.6352629416401,0.0,0.07694000000000001,3.665944700566692e-129,0.5044877376,0.02806809137300767,0.21140000000000003,0.0,0.552426418,0.1223062088975914,0.16512000000000004,0.0,0.570808713,0.1503743002705991,0.5425742895333333,0.15115333333333336,0.10024953351373271,41
median_buffer_range_percentage_5,1.0,1.0,1.0,2370.13243656553,0.0,0.03394,1.8677212973227418e-25,0.5147843000000001,0.0,0.05252,2.2529781179852625e-60,0.524872728,0.0,0.023119999999999998,4.850560999702187e-12,0.5102729495999999,0.0,0.5166433258666667,0.036526666666666666,0.0,42
