feature,min,max,media,std,nan,inf,validos,es_constante
amplitude,0.026000022888183594,2.4000000953674316,0.4079199702110048,0.2618329225717221,0,0,57546,False
beyond_1_std,0.003937007859349251,0.5177865624427795,0.27370232235069575,0.03858936286483961,0,0,57546,False
beyond_2_std,0.0,0.11304347962141037,0.0493265981065281,0.012228854354749838,0,0,57546,False
cusum,0.03994873911142349,0.4388512969017029,0.13726306320200285,0.049215140230602486,0,0,57546,False
eta,0.05328536778688431,2.631486654281616,1.6766678864160356,0.2928991131905987,0,0,57546,False
eta_e,20237298.0,44750811136.0,4239602657.24377,2486461556.9044623,0,0,57546,False
inter_percentile_range_25,0.008999824523925781,1.7029991149902344,0.15805939367224905,0.10905185842230368,0,0,57546,False
inter_percentile_range_10,0.020999908447265625,3.1200008392333984,0.3151174842165744,0.21198170553375667,0,0,57546,False
kurtosis,-1.7332583665847778,242.37620544433594,1.9481726033497921,4.602977805052103,0,0,57546,False
linear_fit_slope,-0.023271778598427773,0.01702125556766987,-0.00014503936983579734,0.0009784225868554428,0,0,57546,False
linear_fit_slope_sigma,1.6948764823609963e-05,0.0019970163702964783,0.00024446415714283337,0.0001893611523361024,0,0,57546,False
linear_fit_reduced_chi2,0.3061891496181488,1578.69970703125,6.104161056863442,44.414926388374816,0,0,57546,False
linear_trend,-0.0165439210832119,0.0197621900588274,-9.248341552481748e-05,0.0006563616169575837,0,0,57546,False
linear_trend_sigma,1.465482000639895e-05,0.00261065736413002,0.0002809242943219379,0.0002219554712148641,0,0,57546,False
magnitude_percentage_ratio_40_5,0.01623179204761982,0.5883721113204956,0.13858319267579305,0.026838417658782376,0,0,57546,False
magnitude_percentage_ratio_20_10,0.11215820908546448,0.8849186897277832,0.6325401897033905,0.050642092787372105,0,0,57546,False
maximum_slope,9.039870262145996,2588.671875,283.99469559341725,194.18980307558448,0,0,57546,False
mean,12.578604698181152,21.26171875,19.226652979937775,1.6060165270251612,0,0,57546,False
median_absolute_deviation,0.005000114440917969,0.8139991760253906,0.07835601474298069,0.0534262954377603,0,0,57546,False
median_buffer_range_percentage_5,0.5244755148887634,1.0,0.9987292419433494,0.009733132771048892,0,0,57546,False
percent_amplitude,0.0279998779296875,3.543999671936035,0.4876072937167897,0.33991690245329825,0,0,57546,False
percent_difference_magnitude_percentile_5,0.002029710914939642,0.22467538714408875,0.021358163768705373,0.014098033348049774,0,0,57546,False
percent_difference_magnitude_percentile_20,0.000912137737032026,0.1302432268857956,0.010011480552047949,0.006765705850582398,0,0,57546,False
period_0,0.027640586718916893,357.5147399902344,16.647561828631044,40.54953946445457,0,0,57546,False
period_s_to_n_0,3.7180776596069336,59.69417190551758,10.231623789965246,4.073433460468857,0,0,57546,False
period_1,0.027686886489391327,289.5386962890625,11.53277099097833,32.12625979218025,0,0,57546,False
period_s_to_n_1,2.21085524559021,48.33624267578125,9.385781624897783,3.891147541178805,0,0,57546,False
period_2,0.026327475905418396,306.44110107421875,8.275225010730626,26.08655803370203,0,0,57546,False
period_s_to_n_2,1.8609840869903564,47.44059753417969,8.573681080796666,3.5089016668285824,0,0,57546,False
periodogram_amplitude,1.1434080600738525,60.48456954956055,5.001337209610208,3.2206658551101137,0,0,57546,False
periodogram_beyond_1_std,0.02880859375,0.407012939453125,0.12007073776377165,0.016458381669246302,0,0,57546,False
periodogram_beyond_2_std,0.007537841796875,0.0673828125,0.04743559689548803,0.005985698734341629,0,0,57546,False
periodogram_cusum,0.05128278583288193,0.4234573245048523,0.16019043357574084,0.02313733351892009,0,0,57546,False
periodogram_eta,0.0027581260073930025,0.13915027678012848,0.03599462685970132,0.010222293437416978,0,0,57546,False
periodogram_inter_percentile_range_25,0.4230824410915375,1.7756667137145996,0.7892752203326344,0.10174546184168888,0,0,57546,False
periodogram_standard_deviation,0.31057313084602356,3.831684112548828,0.8699112190651255,0.1954921006264186,0,0,57546,False
periodogram_percent_amplitude,1.7027058601379395,120.51011657714844,9.543531843690618,6.43745039624189,0,0,57546,False
chi2,0.3323753774166107,1568.2723388671875,6.498668776048952,46.81158365116391,0,0,57546,False
skew,-10.053292274475098,15.390822410583496,-0.12946676178610392,0.7510078934475152,0,0,57546,False
standard_deviation,0.009415412321686745,1.1325751543045044,0.13189992149233692,0.08751792335797559,0,0,57546,False
stetson_K,0.21048186719417572,0.9349768757820129,0.7470111677271832,0.048661969394456675,0,0,57546,False
weighted_mean,12.57861614227295,21.19475746154785,19.19058797910747,1.590368277381213,0,0,57546,False
