rank,feature,importance
1,eta_e,0.2404443048
2,linear_fit_slope_sigma,0.0978057757
3,linear_trend_sigma,0.0844592796
4,maximum_slope,0.0503103084
5,weighted_mean,0.0502357327
6,mean,0.0422714445
7,period_0,0.0395328212
8,period_2,0.0387394439
9,period_1,0.0372560741
10,periodogram_eta,0.0291567184
11,cusum,0.0262040048
12,period_s_to_n_2,0.0250280863
13,linear_fit_reduced_chi2,0.0207542446
14,chi2,0.0168136673
15,linear_trend,0.0165913081
16,linear_fit_slope,0.0153206099
17,stetson_K,0.0151431508
18,standard_deviation,0.0126706641
19,inter_percentile_range_10,0.0125065664
20,inter_percentile_range_25,0.0102812414
21,median_absolute_deviation,0.0101382022
22,period_s_to_n_1,0.0101223484
23,skew,0.0098932927
24,beyond_1_std,0.0076830094
25,percent_difference_magnitude_percentile_5,0.0075713569
26,amplitude,0.0075332484
27,percent_difference_magnitude_percentile_20,0.0066494519
28,period_s_to_n_0,0.0060209397
29,eta,0.0059618729
30,periodogram_standard_deviation,0.0057081881
31,periodogram_inter_percentile_range_25,0.0056396901
32,periodogram_amplitude,0.0053311721
33,periodogram_percent_amplitude,0.0052594523
34,kurtosis,0.0047483672
35,periodogram_cusum,0.0047359831
36,percent_amplitude,0.0042895303
37,periodogram_beyond_1_std,0.0037440553
38,periodogram_beyond_2_std,0.0031538264
39,magnitude_percentage_ratio_40_5,0.0013499367
40,magnitude_percentage_ratio_20_10,0.0013456070
41,beyond_2_std,0.0013130453
42,median_buffer_range_percentage_5,0.0002819767
