tipo,paso,n_variables,variables,RF_ACC,RF_BAL,LOG_ACC,LOG_BAL,RF_TIME,LOG_TIME
INDIVIDUAL,1,1,median,0.4965,0.16447369516388413,0.127875,0.250441229725113,3.3817577362060547,0.09280657768249512
INDIVIDUAL,1,1,standard_deviation,0.531875,0.2597682443819601,0.214625,0.38449262007102797,3.247703790664673,0.2222003936767578
INDIVIDUAL,1,1,median_absolute_deviation,0.582125,0.32026295765744844,0.34275,0.44891952887481856,3.4895336627960205,0.17389345169067383
INDIVIDUAL,1,1,amplitude,0.528375,0.2520896763233513,0.125125,0.3919771046889444,3.245102643966675,0.14185357093811035
INDIVIDUAL,1,1,percent_amplitude,0.535125,0.25631256411063236,0.1385,0.3958261987447208,3.2218360900878906,0.15175962448120117
INDIVIDUAL,1,1,inter_percentile_range_25,0.538,0.2816265558445184,0.195125,0.39772060059122527,3.2669355869293213,0.19272208213806152
INDIVIDUAL,1,1,skew,0.673875,0.333220748889501,0.4895,0.3854164417023695,2.923739433288574,0.16110754013061523
INDIVIDUAL,1,1,kurtosis,0.618625,0.273647059126173,0.21225,0.25897009370626106,3.254924774169922,0.21791863441467285
INDIVIDUAL,1,1,stetson_K,0.625625,0.28192774487042144,0.204125,0.3580529457193831,2.963167667388916,0.12890887260437012
INDIVIDUAL,1,1,eta,0.506125,0.2566197414074443,0.09775,0.318534868095231,3.596468925476074,0.12481284141540527
INDIVIDUAL,1,1,chi2,0.175125,0.16809900792117152,0.05375,0.16042329294880767,1.9594407081604004,0.1036674976348877
INDIVIDUAL,1,1,maximum_slope,0.488625,0.16216415439011592,0.120375,0.2091993013796061,3.534423351287842,0.1282951831817627
FORWARD,1,1,median_absolute_deviation,0.582125,0.32026295765744844,0.34275,0.44891952887481856,2.8307507038116455,0.17490482330322266
FORWARD,2,2,median_absolute_deviation|skew,0.829625,0.5432840234764094,0.5605,0.6136459107222796,2.9884650707244873,0.36547064781188965
FORWARD,3,3,median_absolute_deviation|skew|percent_amplitude,0.846625,0.5644964768209348,0.622875,0.6582816969037311,2.8055615425109863,0.351881742477417
