experimento,RF_accuracy,RF_balanced,LOG_accuracy,LOG_balanced,objetos_test
TEST_LIMPIO,0.9127753303964757,0.7394432019019864,0.8881057268722466,0.6666874541014705,7945
TEST_ORIGINAL,0.913125,0.7396005079608893,0.88825,0.6664678084580887,8000
ETIQUETAS_ALEATORIAS_MEDIA,0.6759723096286973,0.14294659673858115,0.6760730018879799,0.14318298140775812,7945
SOURCEID_OVERLAP,1.0,,,,8000
CURVE_OVERLAP,55.0,,,,8000
RANDOM_1,0.6757709251101321,0.14277736411020106,0.6760226557583385,0.14439125861314991,7945
RANDOM_2,0.675645059786029,0.1433841910112761,0.6761485210824418,0.14285714285714285,7945
RANDOM_3,0.6761485210824418,0.14285714285714285,0.6760226557583385,0.1429788127698595,7945
RANDOM_4,0.6761485210824418,0.14285714285714285,0.6761485210824418,0.14285714285714285,7945
RANDOM_5,0.6761485210824418,0.14285714285714285,0.6760226557583385,0.1428305499414956,7945
