grupo,clase,N_objetos,observaciones_media,observaciones_mediana,RF_accuracy,LOG_accuracy
100-249,EA,77,193.4025974025974,206.0,0.8181818181818182,0.948051948051948
100-249,EW,760,180.04605263157896,179.0,0.95,0.6526315789473685
100-249,LPV,18,163.88888888888889,148.5,0.8888888888888888,1.0
100-249,RRab,120,177.75833333333333,174.5,0.7416666666666667,0.7583333333333333
100-249,RRc,191,186.26178010471205,188.0,0.7068062827225131,0.6544502617801047
100-249,RRd,22,189.6818181818182,203.5,0.22727272727272727,0.5909090909090909
100-249,RS CVn,35,188.82857142857142,200.0,0.22857142857142856,0.7142857142857143
250-499,EA,294,366.7244897959184,362.0,0.8673469387755102,0.9455782312925171
250-499,EW,1670,361.688622754491,356.0,0.9598802395209581,0.6616766467065869
250-499,LPV,31,350.96774193548384,366.0,0.8387096774193549,0.9354838709677419
250-499,RRab,104,356.00961538461536,348.0,0.7403846153846154,0.7211538461538461
250-499,RRc,354,370.16101694915255,369.0,0.7740112994350282,0.711864406779661
250-499,RRd,30,362.4,357.0,0.3333333333333333,0.6
250-499,RS CVn,108,365.6388888888889,361.0,0.24074074074074073,0.7314814814814815
500-999,EA,273,675.040293040293,655.0,0.8791208791208791,0.9413919413919414
500-999,EW,1730,689.4179190751445,666.0,0.953757225433526,0.6236994219653179
500-999,LPV,22,708.9545454545455,672.0,0.8181818181818182,0.8181818181818182
500-999,RRab,98,696.4285714285714,641.0,0.6836734693877551,0.6224489795918368
500-999,RRc,219,700.7808219178082,664.0,0.7077625570776256,0.6621004566210046
500-999,RRd,17,661.5882352941177,656.0,0.17647058823529413,0.5294117647058824
500-999,RS CVn,74,679.9594594594595,653.5,0.2702702702702703,0.7972972972972973
<100,EA,77,52.96103896103896,48.0,0.6623376623376623,0.8571428571428571
<100,EW,553,60.46473779385172,56.0,0.9511754068716094,0.4864376130198915
<100,LPV,8,56.25,43.5,0.625,0.875
<100,RRab,28,57.607142857142854,53.5,0.6071428571428571,0.75
<100,RRc,91,56.78021978021978,51.0,0.45054945054945056,0.5164835164835165
<100,RRd,9,58.333333333333336,54.0,0.0,0.3333333333333333
<100,RS CVn,32,60.625,57.0,0.03125,0.78125
>=1000,EA,93,1315.1935483870968,1168.0,0.8602150537634409,0.9032258064516129
>=1000,EW,701,1319.4265335235377,1170.0,0.9657631954350927,0.6134094151212554
>=1000,LPV,8,1411.125,1336.5,1.0,1.0
>=1000,RRab,44,1265.340909090909,1151.5,0.75,0.7045454545454546
>=1000,RRc,79,1259.1012658227849,1146.0,0.7215189873417721,0.7215189873417721
>=1000,RRd,7,1211.7142857142858,1236.0,0.14285714285714285,0.5714285714285714
>=1000,RS CVn,23,1394.391304347826,1243.0,0.2608695652173913,0.782608695652174
