nivel,grupo,variable,N,media,mediana,std,min,max,q25,q75
observaciones,<100,skew,798,0.5415217406883507,0.4172403147878708,0.7861653076934169,-2.391756860379441,5.187938522086251,0.07225805446624736,0.8394346365406675
observaciones,<100,eta,798,1.365430619803259,1.3699410555967209,0.3927806326439297,0.05676737349697348,2.730983456745264,1.1040102598250336,1.5970669139947709
observaciones,<100,inter_percentile_range_25,798,0.2970346178028518,0.2706875801086426,0.22399707172437736,0.0171201229095459,3.531672239303589,0.16901561617851257,0.3839573860168457
observaciones,<100,standard_deviation,798,0.1279416994054641,0.11705745420340824,0.0890321796508321,0.009415942813628002,1.3752819520382318,0.07827306764434426,0.1601832932367444
observaciones,<100,median_absolute_deviation,798,0.08047633601310558,0.0718073844909668,0.05660654830603802,0.0045757293701171875,0.7284197807312012,0.04507923126220703,0.10506772994995117
observaciones,<100,stetson_K,798,0.8349739149011276,0.8536382682063719,0.07275670734355037,0.45147183098668275,0.9439575598354387,0.8126882957128001,0.8816234928438746
observaciones,100-249,skew,1223,0.46585504279013407,0.3590636335401265,0.8623216426858958,-5.481745373620181,13.410602314423473,0.011729357708754475,0.7313165327807496
observaciones,100-249,eta,1223,1.5953017057675705,1.677355402607107,0.40836238160199295,0.028713059665367864,2.5765080891939207,1.4411084678524038,1.850389541273167
observaciones,100-249,inter_percentile_range_25,1223,0.3474451894167497,0.32688331604003906,0.2332658744272867,0.026470065116882324,3.544150710105896,0.22394609451293945,0.43233513832092285
observaciones,100-249,standard_deviation,1223,0.14674376653849802,0.13742136953613063,0.0956659974059383,0.014255664681276148,1.4219736091058104,0.09752475225923275,0.17882380618942917
observaciones,100-249,median_absolute_deviation,1223,0.0982855541825002,0.09638404846191406,0.0693154861860432,0.007775783538818359,1.1109108924865723,0.06143379211425781,0.12229108810424805
observaciones,100-249,stetson_K,1223,0.8411059505154898,0.8571009726327447,0.06836469132343619,0.26528640672636294,0.9422804725199274,0.8287125152073256,0.8799532720569008
observaciones,250-499,skew,2591,0.6392282182573877,0.4353187002006622,1.0185537010822474,-9.219379579581801,12.49807503696703,0.10411869550803532,0.7940280470941421
observaciones,250-499,eta,2591,1.4804812628026172,1.5304921127789717,0.32438573735719184,0.029581093815906533,2.85050168940722,1.3554888918965942,1.678217622318177
observaciones,250-499,inter_percentile_range_25,2591,0.3085735089895763,0.29087281227111816,0.22345665294910155,0.027367591857910156,4.454405784606934,0.18324673175811768,0.3868577480316162
observaciones,250-499,standard_deviation,2591,0.13352595378459753,0.12433423551934486,0.08957848616173816,0.012873043547365905,1.6238873717347686,0.08412946100543249,0.16407463204154898
observaciones,250-499,median_absolute_deviation,2591,0.08576544920296708,0.08177375793457031,0.06420226070667222,0.008047103881835938,1.2373409271240234,0.04772663116455078,0.1127777099609375
observaciones,250-499,stetson_K,2591,0.8256599132309008,0.8522852895432189,0.08175726230299417,0.376461751086724,0.980305969471216,0.8125378523042717,0.8738832484111176
observaciones,500-999,skew,2433,0.6823100434766459,0.4695067091590901,1.103680939355988,-3.6727764853055023,19.610174996174713,0.14545845780470656,0.8278416432852027
observaciones,500-999,eta,2433,1.2200368763286062,1.2809046563290778,0.3090388627872547,0.012824236510629302,2.7911653539412686,1.0312182006785744,1.4332692740124315
observaciones,500-999,inter_percentile_range_25,2433,0.30724329106659737,0.2788228988647461,0.24607378983874315,0.023855209350585938,5.089529991149902,0.1744990348815918,0.39490842819213867
observaciones,500-999,standard_deviation,2433,0.13331151241509884,0.1221368634277977,0.10004007770041203,0.012477178616001018,2.1047963141640733,0.08104519025855454,0.16866733396216585
observaciones,500-999,median_absolute_deviation,2433,0.08422688755830325,0.07875823974609375,0.07835672729534145,0.0061740875244140625,2.208484172821045,0.046025753021240234,0.11081123352050781
observaciones,500-999,stetson_K,2433,0.8252876011443765,0.8533234468120807,0.08355840536381247,0.3157155224755755,0.9635502664659891,0.8186282508913244,0.8724398613290575
observaciones,>=1000,skew,955,0.6998449547137301,0.5022908912246534,1.0960199598746618,-3.672169774128188,10.317013367950075,0.17041773140671615,0.8294831307869078
observaciones,>=1000,eta,955,1.0247168946210974,0.9993701662394423,0.3303798460432121,0.011217090876989286,2.4130251881408227,0.7926878002919295,1.2727609025618585
observaciones,>=1000,inter_percentile_range_25,955,0.30218844214034957,0.2877073287963867,0.164149628180407,0.023369193077087402,1.7544503211975098,0.17098712921142578,0.39845162630081177
observaciones,>=1000,standard_deviation,955,0.13089175272981338,0.12444716845175638,0.06734353147729893,0.01130314222554668,0.6940671790816276,0.08030915553383705,0.1690323501110969
observaciones,>=1000,median_absolute_deviation,955,0.0821821622199413,0.08292531967163086,0.043829016000314774,0.006801128387451172,0.4765195846557617,0.04735684394836426,0.11223745346069336
observaciones,>=1000,stetson_K,955,0.8256171143498745,0.8535564028961808,0.08267810200555925,0.38032267361508754,0.9185440082268471,0.8199529057364208,0.8706282232369816
