n_puntos,ya_ordenado,n_inversiones,n_empates_temporales,frac_inversiones
1135,True,0,79,0.0
730,True,0,192,0.0
663,True,0,160,0.0
259,True,0,32,0.0
703,True,0,81,0.0
733,True,0,95,0.0
827,True,0,150,0.0
304,True,0,213,0.0
2141,True,0,793,0.0
48,True,0,13,0.0
492,True,0,69,0.0
312,True,0,44,0.0
243,True,0,9,0.0
212,True,0,0,0.0
93,True,0,34,0.0
858,True,0,140,0.0
42,True,0,8,0.0
270,True,0,32,0.0
1196,True,0,279,0.0
121,True,0,3,0.0
2215,True,0,566,0.0
203,True,0,20,0.0
446,True,0,25,0.0
50,True,0,15,0.0
413,True,0,49,0.0
537,True,0,189,0.0
1152,True,0,335,0.0
305,True,0,42,0.0
1059,True,0,97,0.0
461,True,0,25,0.0
912,True,0,84,0.0
971,True,0,361,0.0
167,True,0,1,0.0
635,True,0,90,0.0
269,True,0,39,0.0
566,True,0,87,0.0
616,True,0,76,0.0
251,True,0,13,0.0
624,True,0,82,0.0
715,True,0,118,0.0
300,True,0,12,0.0
223,True,0,16,0.0
822,True,0,111,0.0
266,True,0,5,0.0
410,True,0,11,0.0
319,True,0,48,0.0
511,True,0,56,0.0
63,True,0,20,0.0
319,True,0,13,0.0
205,True,0,7,0.0
630,True,0,90,0.0
748,True,0,107,0.0
286,True,0,31,0.0
84,True,0,38,0.0
265,True,0,4,0.0
350,True,0,20,0.0
257,True,0,20,0.0
82,True,0,27,0.0
213,True,0,7,0.0
263,True,0,30,0.0
622,True,0,79,0.0
326,True,0,43,0.0
602,True,0,137,0.0
280,True,0,24,0.0
188,True,0,35,0.0
616,True,0,75,0.0
20,True,0,4,0.0
195,True,0,1,0.0
523,True,0,56,0.0
729,True,0,107,0.0
271,True,0,9,0.0
1681,True,0,528,0.0
390,True,0,51,0.0
589,True,0,141,0.0
987,True,0,159,0.0
45,True,0,14,0.0
1108,True,0,370,0.0
485,True,0,58,0.0
741,True,0,57,0.0
463,True,0,25,0.0
1018,True,0,136,0.0
314,True,0,70,0.0
215,True,0,6,0.0
298,True,0,26,0.0
1189,True,0,277,0.0
244,True,0,1,0.0
318,True,0,33,0.0
365,True,0,27,0.0
346,True,0,46,0.0
500,True,0,104,0.0
1062,True,0,79,0.0
796,True,0,278,0.0
567,True,0,135,0.0
280,True,0,3,0.0
643,True,0,98,0.0
198,True,0,3,0.0
457,True,0,55,0.0
317,True,0,41,0.0
1031,True,0,252,0.0
282,True,0,36,0.0
359,True,0,60,0.0
141,True,0,50,0.0
251,True,0,22,0.0
398,True,0,55,0.0
273,True,0,4,0.0
303,True,0,20,0.0
49,True,0,0,0.0
807,True,0,297,0.0
651,True,0,168,0.0
596,True,0,60,0.0
195,True,0,21,0.0
72,True,0,22,0.0
584,True,0,34,0.0
278,True,0,5,0.0
39,True,0,11,0.0
281,True,0,31,0.0
358,True,0,60,0.0
1022,True,0,244,0.0
44,True,0,12,0.0
560,True,0,222,0.0
1086,True,0,388,0.0
279,True,0,21,0.0
598,True,0,237,0.0
1166,True,0,309,0.0
352,True,0,25,0.0
353,True,0,64,0.0
1747,True,0,505,0.0
157,True,0,5,0.0
312,True,0,17,0.0
612,True,0,83,0.0
217,True,0,3,0.0
230,True,0,11,0.0
464,True,0,47,0.0
833,True,0,56,0.0
758,True,0,273,0.0
244,True,0,116,0.0
847,True,0,179,0.0
225,True,0,6,0.0
433,True,0,74,0.0
361,True,0,20,0.0
350,True,0,5,0.0
619,True,0,83,0.0
463,True,0,43,0.0
277,True,0,31,0.0
547,True,0,63,0.0
945,True,0,83,0.0
31,True,0,9,0.0
430,True,0,51,0.0
445,True,0,66,0.0
153,True,0,3,0.0
241,True,0,30,0.0
631,True,0,89,0.0
143,True,0,64,0.0
485,True,0,78,0.0
1095,True,0,394,0.0
143,True,0,3,0.0
239,True,0,4,0.0
236,True,0,10,0.0
77,True,0,22,0.0
155,True,0,15,0.0
786,True,0,70,0.0
156,True,0,7,0.0
569,True,0,58,0.0
136,True,0,25,0.0
860,True,0,190,0.0
817,True,0,50,0.0
771,True,0,206,0.0
45,True,0,16,0.0
550,True,0,233,0.0
189,True,0,29,0.0
366,True,0,49,0.0
318,True,0,23,0.0
926,True,0,118,0.0
440,True,0,46,0.0
2620,True,0,1728,0.0
351,True,0,32,0.0
342,True,0,22,0.0
479,True,0,58,0.0
938,True,0,85,0.0
255,True,0,12,0.0
223,True,0,29,0.0
773,True,0,132,0.0
341,True,0,21,0.0
69,True,0,1,0.0
557,True,0,80,0.0
492,True,0,69,0.0
587,True,0,115,0.0
337,True,0,23,0.0
664,True,0,255,0.0
306,True,0,31,0.0
709,True,0,124,0.0
892,True,0,80,0.0
898,True,0,246,0.0
525,True,0,45,0.0
209,True,0,9,0.0
51,True,0,24,0.0
682,True,0,109,0.0
813,True,0,301,0.0
912,True,0,185,0.0
592,True,0,74,0.0
704,True,0,104,0.0
120,True,0,1,0.0
141,True,0,2,0.0
370,True,0,180,0.0
588,True,0,98,0.0
855,True,0,314,0.0
144,True,0,18,0.0
629,True,0,101,0.0
288,True,0,33,0.0
664,True,0,91,0.0
143,True,0,8,0.0
946,True,0,103,0.0
561,True,0,78,0.0
337,True,0,35,0.0
647,True,0,239,0.0
439,True,0,43,0.0
618,True,0,332,0.0
467,True,0,28,0.0
1155,True,0,306,0.0
953,True,0,252,0.0
560,True,0,71,0.0
52,True,0,17,0.0
