n_original,n_relleno_cola,n_efectivo,cola_target_constante,empates_intermedios
331,0,331,False,38
724,0,724,False,189
367,0,367,False,59
1069,0,1069,False,84
498,0,498,False,140
325,0,325,False,40
301,0,301,False,7
733,0,733,False,61
1500,0,1500,False,634
716,1,715,True,389
492,0,492,False,61
1116,0,1116,False,306
261,0,261,False,4
842,0,842,False,230
725,0,725,False,115
363,0,363,False,9
294,0,294,False,31
650,0,650,False,196
272,0,272,False,42
703,0,703,False,183
587,0,587,False,115
539,0,539,False,69
737,0,737,False,87
1106,0,1106,False,164
717,0,717,False,120
1144,0,1144,False,301
403,0,403,False,31
1060,0,1060,False,90
281,0,281,False,8
328,0,328,False,9
796,0,796,False,141
221,0,221,False,32
651,0,651,False,83
1047,0,1047,False,90
228,0,228,False,14
1140,0,1140,False,182
297,0,297,False,18
56,0,56,False,1
208,0,208,False,6
402,0,402,False,36
1094,0,1094,False,100
190,0,190,False,2
774,0,774,False,67
795,0,795,False,291
352,0,352,False,10
103,0,103,False,42
2030,0,2030,False,1166
1067,0,1067,False,371
59,0,59,False,15
209,0,209,False,7
559,0,559,False,50
587,0,587,False,206
901,0,901,False,85
1740,0,1740,False,466
262,0,262,False,12
298,0,298,False,34
513,0,513,False,43
715,0,715,False,92
639,0,639,False,89
467,0,467,False,79
654,0,654,False,108
807,0,807,False,290
325,0,325,False,27
1804,0,1804,False,576
348,0,348,False,32
1021,0,1021,False,98
1867,0,1867,False,997
587,0,587,False,136
54,0,54,False,17
582,0,582,False,135
1137,0,1137,False,358
161,0,161,False,5
797,0,797,False,149
146,0,146,False,46
50,0,50,False,11
578,0,578,False,198
278,0,278,False,11
786,0,786,False,233
469,0,469,False,50
719,0,719,False,75
558,0,558,False,70
364,0,364,False,60
259,0,259,False,13
1222,0,1222,False,213
573,0,573,False,134
678,0,678,False,186
387,0,387,False,30
1149,0,1149,False,383
946,0,946,False,106
524,0,524,False,54
1538,0,1538,False,648
708,0,708,False,172
50,0,50,False,14
256,0,256,False,3
528,0,528,False,73
92,0,92,False,7
348,0,348,False,23
196,0,196,False,5
491,0,491,False,77
1802,0,1802,False,533
567,0,567,False,78
688,0,688,False,96
982,0,982,False,344
79,0,79,False,20
790,0,790,False,79
325,0,325,False,15
627,0,627,False,50
212,0,212,False,5
1655,0,1655,False,419
37,0,37,False,7
765,0,765,False,259
76,0,76,False,20
961,0,961,False,334
1384,0,1384,False,355
268,0,268,False,9
289,0,289,False,30
141,0,141,False,0
901,0,901,False,316
557,0,557,False,77
278,0,278,False,44
121,0,121,False,5
710,0,710,False,277
41,0,41,False,12
80,0,80,False,26
49,0,49,False,11
580,0,580,False,82
69,0,69,False,21
543,0,543,False,153
1164,0,1164,False,117
581,0,581,False,89
857,0,857,False,322
296,0,296,False,27
362,0,362,False,23
1056,0,1056,False,88
348,0,348,False,32
750,1,749,True,438
1034,0,1034,False,100
286,0,286,False,7
727,0,727,False,92
421,0,421,False,24
526,0,526,False,73
461,0,461,False,47
556,1,555,True,288
479,0,479,False,23
338,0,338,False,41
1393,0,1393,False,477
774,0,774,False,117
674,0,674,False,66
999,0,999,False,147
454,0,454,False,48
258,0,258,False,46
221,0,221,False,11
390,0,390,False,104
862,0,862,False,319
624,0,624,False,69
68,0,68,False,0
44,0,44,False,18
435,0,435,False,54
394,1,393,True,196
376,0,376,False,45
276,0,276,False,34
1044,0,1044,False,90
433,0,433,False,57
1009,0,1009,False,292
150,0,150,False,11
274,0,274,False,3
2247,0,2247,False,978
224,0,224,False,100
995,0,995,False,71
143,0,143,False,19
444,0,444,False,19
287,0,287,False,27
565,0,565,False,85
273,0,273,False,17
454,0,454,False,43
278,0,278,False,15
169,0,169,False,0
1452,1,1451,True,1010
997,0,997,False,325
725,0,725,False,104
634,0,634,False,78
639,0,639,False,93
226,0,226,False,3
596,0,596,False,141
674,0,674,False,254
324,0,324,False,71
215,0,215,False,31
57,0,57,False,11
609,0,609,False,84
631,0,631,False,80
578,0,578,False,136
1030,0,1030,False,107
2158,0,2158,False,494
1195,0,1195,False,490
454,0,454,False,64
644,0,644,False,195
56,0,56,False,19
151,0,151,False,3
1147,0,1147,False,326
885,0,885,False,143
993,0,993,False,258
746,0,746,False,57
46,0,46,False,11
267,0,267,False,30
197,0,197,False,3
303,0,303,False,30
556,0,556,False,68
156,0,156,False,4
238,0,238,False,2
1907,0,1907,False,622
632,0,632,False,129
1382,0,1382,False,347
1157,0,1157,False,300
284,0,284,False,5
409,0,409,False,28
2218,0,2218,False,513
641,0,641,False,166
651,0,651,False,84
436,0,436,False,15
443,0,443,False,43
245,0,245,False,56
154,0,154,False,5
118,0,118,False,46
81,0,81,False,27
141,0,141,False,0
914,0,914,False,67
384,0,384,False,104
700,0,700,False,117
764,0,764,False,63
1204,0,1204,False,486
1154,0,1154,False,385
1017,0,1017,False,209
2170,0,2170,False,1349
318,0,318,False,11
1160,0,1160,False,384
450,0,450,False,53
695,0,695,False,177
726,0,726,False,95
154,0,154,False,3
475,0,475,False,45
234,0,234,False,5
426,0,426,False,57
548,0,548,False,80
317,0,317,False,6
335,0,335,False,24
48,0,48,False,14
231,0,231,False,11
62,0,62,False,22
319,0,319,False,18
96,0,96,False,34
1072,0,1072,False,381
77,0,77,False,26
420,0,420,False,12
347,0,347,False,19
1157,0,1157,False,379
1154,0,1154,False,388
197,0,197,False,2
154,0,154,False,61
216,0,216,False,4
208,0,208,False,4
630,0,630,False,76
296,0,296,False,13
616,0,616,False,86
632,0,632,False,61
388,0,388,False,20
2029,0,2029,False,972
1272,1,1271,True,724
1300,0,1300,False,414
866,0,866,False,283
792,0,792,False,103
678,0,678,False,129
367,0,367,False,52
112,0,112,False,1
371,0,371,False,12
344,0,344,False,12
