decil,fila_inicio,fila_fin,n_objetos,n_obs_media,n_obs_mediana,periodo_media,periodo_mediana,clase_EW,clase_RRc,clase_EA,clase_RRab,clase_RS CVn,clase_RRd,clase_LPV
1,0,2904,2904,524.2424242424242,428.0,3.367880946912959,0.34727299213409424,0.6653,0.1243,0.1078,0.0455,0.031,0.0152,0.011
2,2904,5809,2905,527.726678141136,439.0,4.5336605251656135,0.34879401326179504,0.6651,0.1126,0.1115,0.0565,0.0334,0.0103,0.0107
3,5809,8714,2905,529.0371772805507,443.0,4.062561117166497,0.3461439907550812,0.6781,0.1146,0.1043,0.0509,0.0299,0.0107,0.0114
4,8714,11618,2904,520.1122589531681,426.0,3.654203351628107,0.34446099400520325,0.6798,0.1185,0.0899,0.0523,0.0396,0.011,0.009
5,11618,14523,2905,529.926678141136,451.0,4.437773870903736,0.34753820300102234,0.6792,0.1112,0.1002,0.0454,0.0437,0.0096,0.0107
6,14523,17428,2905,524.7518072289157,432.0,5.033828421555165,0.34526199102401733,0.6709,0.1112,0.1091,0.0509,0.0351,0.0093,0.0134
7,17428,20332,2904,518.3646694214876,424.0,4.0010509160770615,0.3479200005531311,0.6694,0.1212,0.1105,0.0489,0.0317,0.0086,0.0096
8,20332,23237,2905,527.6760757314975,437.0,4.08641209982451,0.3428947925567627,0.6857,0.116,0.0981,0.0503,0.0306,0.0079,0.0114
9,23237,26142,2905,530.9235800344234,442.0,4.636637060121086,0.34454599022865295,0.6761,0.1174,0.1029,0.052,0.0262,0.0124,0.0131
10,26142,29047,2905,526.7325301204819,437.0,3.636861650243068,0.34705498814582825,0.6895,0.1126,0.0929,0.0468,0.0368,0.011,0.0103
