fila_test,id_objeto,clase,prediccion_rf,mal_clasificado_rf,es_clase_dificil,score_isolation_forest,score_lof,rank_if,rank_lof,top_if,top_lof,candidato_fuerte,candidato_interesante
3655,CSS_J233427.4+433301,LPV,LPV,False,False,0.7495219489854091,1.7171470394367887,15,55,True,True,True,True
2844,CSS_J082915.0+182307,LPV,LPV,False,False,0.7161877733701069,2.370695017497121,32,6,True,True,True,True
1089,CSS_J085605.7+163059,LPV,LPV,False,False,0.7078891669069127,1.7499399426810052,36,48,True,True,True,True
5115,CSS_J103704.9-103740,EW,EW,False,False,0.707181406885581,3.4296995766126726,37,1,True,True,True,True
5686,CSS_J161804.2+093650,EW,EW,False,False,0.705504042540514,2.1968486447389037,39,12,True,True,True,True
2389,CSS_J152018.5-045507,EW,EW,False,False,0.681530658807161,1.9089039117064224,55,30,True,True,True,True
174,CSS_J101045.5+565714,EW,EW,False,False,0.6724229990716243,1.5194550056539984,59,143,True,True,True,True
2853,CSS_J074539.3+501225,EW,EW,False,False,0.6661397010352228,1.5713655493024348,64,101,True,True,True,True
2264,CSS_J122337.8-071456,LPV,LPV,False,False,0.6607905389138733,1.942431286213972,68,27,True,True,True,True
7423,CSS_J175050.6+500249,EA,EA,False,False,0.6492935699569942,1.771322139262511,78,44,True,True,True,True
4488,CSS_J085513.6+462743,EA,EA,False,False,0.6133516627328769,2.169375712385457,118,14,True,True,True,True
464,CSS_J060230.9-084931,EW,EW,False,False,0.6114409413122611,1.5295028630017777,122,132,True,True,True,True
1078,CSS_J032032.9+263443,EW,EW,False,False,0.590706077133544,1.8763337154226694,149,32,True,True,True,True
5047,CSS_J151414.2-072807,EW,EW,False,False,0.5880516273661405,1.718509331956455,156,53,True,True,True,True
