fila_test,id_objeto,clase,prediccion_rf,mal_clasificado_rf,es_clase_dificil,score_isolation_forest,score_lof,rank_if,rank_lof,top_if,top_lof,candidato_fuerte,candidato_interesante
0,CSS_J173822.3+541006,EW,EW,False,False,0.3575671488871927,1.032071893627374,7464,4920,False,False,False,False
1,CSS_J035942.1+250122,EW,EW,False,False,0.35727988651821285,1.0369563289767392,7488,4669,False,False,False,False
2,CSS_J050004.2+005836,EW,EW,False,False,0.38963918761137556,1.074007998623664,3939,3219,False,False,False,False
3,CSS_J052607.7+002624,EW,EW,False,False,0.49186263943889136,1.2201963422356037,619,940,False,False,False,False
4,CSS_J231219.3+372824,EW,RRc,True,False,0.42659335446210134,1.278453395414882,1964,608,False,False,False,False
5,CSS_J222826.9+211010,EW,RS CVn,True,False,0.6667276024458992,2.055325108076833,63,19,True,True,True,False
6,CSS_J104514.6+521648,EW,EW,False,False,0.39830163299561294,1.1029428142535496,3286,2460,False,False,False,False
7,CSS_J040227.2+260434,EW,EW,False,False,0.4286364421676768,1.8155089630049246,1899,37,False,True,False,False
8,CSS_J180350.8+340926,EW,EW,False,False,0.4952404574401828,1.4938261104989714,578,166,False,False,False,False
9,CSS_J083404.6+124509,RRab,EW,True,False,0.4362507145422109,1.06709751678437,1667,3447,False,False,False,False
10,CSS_J130333.6+154001,RRc,RRc,False,False,0.36946706258607,1.0020623596835123,6158,6646,False,False,False,False
11,CSS_J072817.1+373857,EW,EW,False,False,0.38498856803793846,0.9982399291660945,4382,6864,False,False,False,False
12,CSS_J103638.1+030423,EW,EW,False,False,0.37910137457223103,1.0091507090030176,5014,6172,False,False,False,False
13,CSS_J142853.6-111124,RRc,RRc,False,False,0.3721260534501909,1.1264848348593424,5809,1982,False,False,False,False
14,CSS_J035308.1-024445,EW,EW,False,False,0.3822550552117499,0.9948183637608767,4667,7045,False,False,False,False
15,CSS_J232838.0+400336,EW,EW,False,False,0.41321412727267426,1.017714314226077,2490,5669,False,False,False,False
16,CSS_J090504.5+351854,EW,EW,False,False,0.46808550393954057,1.3228185023994952,971,442,False,False,False,False
17,CSS_J053058.0-034529,RS CVn,EW,True,True,0.42542973241908183,1.066172990393559,2006,3481,False,False,False,False
18,CSS_J014920.7+251349,EW,EW,False,False,0.38065018590508604,1.041212022696556,4848,4480,False,False,False,False
19,CSS_J105356.1-135020,LPV,LPV,False,False,0.6843731150910232,0.9991181982894254,52,6810,True,False,False,False
20,CSS_J170752.8+413315,RS CVn,RS CVn,False,True,0.4357448802975156,1.064728357618318,1678,3530,False,False,False,False
21,CSS_J054257.5-123940,EW,EW,False,False,0.45795689942045303,1.0085885540239101,1150,6219,False,False,False,False
22,CSS_J164633.5+051427,RS CVn,RS CVn,False,True,0.4571791689186041,1.0512553836214338,1175,4040,False,False,False,False
23,CSS_J213424.1+094601,RRab,RRab,False,False,0.49593425209656644,1.2984497018752899,572,538,False,False,False,False
24,CSS_J082957.9+175739,EW,EW,False,False,0.4128956113257657,1.051742792407961,2504,4020,False,False,False,False
25,CSS_J201309.7-133403,RRab,RRab,False,False,0.41174250520111877,1.2009210692242163,2556,1079,False,False,False,False
26,CSS_J074530.0+372258,RRc,RRc,False,False,0.4291590716624852,1.5434669532069232,1882,120,False,True,False,False
27,CSS_J034021.1-144648,EW,EW,False,False,0.38583775945271537,1.0476918201554608,4302,4194,False,False,False,False
28,CSS_J172318.3+315245,EA,EA,False,False,0.40255767041902973,1.0499756657191146,3030,4091,False,False,False,False
29,CSS_J165242.9+073623,RS CVn,RS CVn,False,True,0.45899078111007474,1.2097991320471486,1129,1013,False,False,False,False
30,CSS_J154619.1+363404,RRd,RRc,True,True,0.35637032196166535,1.0729283685844644,7577,3252,False,False,False,False
