fila_test,id_objeto,clase,prediccion_rf,mal_clasificado_rf,es_clase_dificil,score_isolation_forest,score_lof,rank_if,rank_lof,top_if,top_lof,candidato_fuerte,candidato_interesante
0,CSS_J173822.3+541006,EW,EW,False,False,0.3592500969915884,1.032082345619216,7495,4876,False,False,False,False
1,CSS_J035942.1+250122,EW,EW,False,False,0.36034467672948134,1.036970564300676,7386,4634,False,False,False,False
2,CSS_J050004.2+005836,EW,EW,False,False,0.4039560656359377,1.076956904944182,3236,3101,False,False,False,False
3,CSS_J052607.7+002624,EW,EW,False,False,0.4839617807408395,1.2296689209105707,771,837,False,False,False,False
4,CSS_J231219.3+372824,EW,EW,False,False,0.44027135217047403,1.2785160092802526,1680,592,False,False,False,False
5,CSS_J222826.9+211010,EW,RS CVn,True,False,0.702127845790357,2.057692779312912,39,14,True,True,True,False
6,CSS_J104514.6+521648,EW,EW,False,False,0.3999336108095355,1.1029448669374287,3506,2420,False,False,False,False
7,CSS_J040227.2+260434,EW,EW,False,False,0.4308062414084126,1.766294974452488,1985,37,False,True,False,False
8,CSS_J180350.8+340926,EW,EA,True,False,0.5049961926902703,1.4956762099957417,512,144,False,True,False,False
9,CSS_J083404.6+124509,RRab,EW,True,False,0.44065458146947584,1.0668579646779546,1664,3413,False,False,False,False
10,CSS_J130333.6+154001,RRc,RRc,False,False,0.3746337917142753,1.0021900694318464,5886,6631,False,False,False,False
11,CSS_J072817.1+373857,EW,EW,False,False,0.387572276517593,0.9999603444312472,4528,6769,False,False,False,False
12,CSS_J103638.1+030423,EW,EW,False,False,0.38029342066861377,1.0092985421345526,5257,6161,False,False,False,False
13,CSS_J142853.6-111124,RRc,RRc,False,False,0.37025643389113283,1.126561095883672,6371,1951,False,False,False,False
14,CSS_J035308.1-024445,EW,EW,False,False,0.393655146128897,0.9919423216293655,3977,7210,False,False,False,False
15,CSS_J232838.0+400336,EW,EW,False,False,0.41946013775186325,1.019021861573142,2428,5557,False,False,False,False
16,CSS_J090504.5+351854,EW,EW,False,False,0.4743529717419282,1.3241686703039202,935,426,False,False,False,False
17,CSS_J053058.0-034529,RS CVn,EW,True,True,0.39208466773063066,1.0452222228271526,4132,4267,False,False,False,False
18,CSS_J014920.7+251349,EW,EW,False,False,0.3902035915341075,1.0411590595746543,4310,4447,False,False,False,False
19,CSS_J105356.1-135020,LPV,LPV,False,False,0.6651929266574192,1.025627293622388,69,5206,True,False,False,False
20,CSS_J170752.8+413315,RS CVn,EW,True,True,0.43149101233836634,1.0458148131208869,1960,4243,False,False,False,False
21,CSS_J054257.5-123940,EW,EW,False,False,0.4724101174573771,1.0085934722640748,969,6217,False,False,False,False
22,CSS_J164633.5+051427,RS CVn,RS CVn,False,True,0.4236458690097857,0.992840931557927,2259,7150,False,False,False,False
23,CSS_J213424.1+094601,RRab,RRab,False,False,0.5123459816978996,1.2984574223064929,447,519,False,False,False,False
24,CSS_J082957.9+175739,EW,EW,False,False,0.42745974881637294,1.0513977745886014,2097,3997,False,False,False,False
25,CSS_J201309.7-133403,RRab,RRab,False,False,0.41534559448028974,1.2012283041812986,2619,1058,False,False,False,False
26,CSS_J074530.0+372258,RRc,RRc,False,False,0.42506142002964753,1.5461067757782383,2196,103,False,True,False,False
27,CSS_J034021.1-144648,EW,EW,False,False,0.3920353400344624,1.0493534853728361,4139,4081,False,False,False,False
28,CSS_J172318.3+315245,EA,EA,False,False,0.40127839724055503,1.0501391161360991,3401,4057,False,False,False,False
29,CSS_J165242.9+073623,RS CVn,EW,True,True,0.440541487647449,1.0640039618019146,1667,3513,False,False,False,False
30,CSS_J154619.1+363404,RRd,RRc,True,True,0.35986607057224285,1.082832869963244,7434,2915,False,False,False,False
31,CSS_J072339.0+295500,EW,EW,False,False,0.38404754211309466,0.9933698219704576,4860,7124,False,False,False,False
