fila_test,id_objeto,clase,prediccion_rf,mal_clasificado_rf,es_clase_dificil,score_if_percentil_clase,score_lof_percentil_clase,n_train_clase,clase_con_base_suficiente,candidato_fuerte_por_clase,candidato_interesante_por_clase
81,CSS_J084554.2+193456,EW,EW,False,False,100.0,99.22423346878463,16852,True,True,True
5686,CSS_J161804.2+093650,EW,EW,False,False,99.9445881049132,99.87070557813077,16852,True,True,True
5115,CSS_J103704.9-103740,EW,EW,False,False,99.92611747321757,99.92611747321757,16852,True,True,True
7950,CSS_J071205.6+310630,EW,EW,False,False,99.88917620982637,99.59364610269671,16852,True,True,True
2389,CSS_J152018.5-045507,EW,EW,False,False,99.87070557813077,99.74141115626153,16852,True,True,True
7423,CSS_J175050.6+500249,EA,EA,False,False,99.75429975429975,99.5085995085995,2597,True,True,True
3913,CSS_J093217.7+024413,RRab,RRab,False,False,99.74619289340102,99.49238578680203,1249,True,True,True
2853,CSS_J074539.3+501225,EW,EW,False,False,99.68599926117473,98.76246767639452,16852,True,True,True
273,CSS_J052633.9-023210,EW,EW,False,False,99.63058736608792,98.5777613594385,16852,True,True,True
1744,CSS_J080441.2+212420,EW,EW,False,False,99.61211673439232,98.5962319911341,16852,True,True,True
1914,CSS_J150618.9+014158,RRc,RRc,False,False,99.57173447537473,98.39400428265525,2917,True,True,True
1078,CSS_J032032.9+263443,EW,EW,False,False,99.50129294421869,99.66752862947914,16852,True,True,True
464,CSS_J060230.9-084931,EW,EW,False,False,99.46435168082749,98.18987809383081,16852,True,True,True
5677,CSS_J041827.3+311003,EW,EW,False,False,99.42741041743628,98.92870336165497,16852,True,True,True
7945,CSS_J023702.4+301405,EW,EW,False,False,99.39046915404506,99.0025858884374,16852,True,True,True
5437,CSS_J164355.5-014800,EW,EW,False,False,99.24270410048024,98.98411525674177,16852,True,True,True
2829,CSS_J045934.8-095037,EW,EW,False,False,99.22423346878463,98.24528998891762,16852,True,True,True
5047,CSS_J151414.2-072807,EW,EW,False,False,99.16882157369781,99.5382342076099,16852,True,True,True
5203,CSS_J093030.9+574553,EW,EW,False,False,99.113409678611,98.65164388622091,16852,True,True,True
736,CSS_J045447.2+063606,EW,EW,False,False,99.0395271518286,99.5751754710011,16852,True,True,True
2422,CSS_J165728.3+055825,RRab,RRab,False,False,98.98477157360406,98.98477157360406,1249,True,True,True
2957,CSS_J002200.7+225433,EW,EW,False,False,98.89176209826375,99.18729220539343,16852,True,True,True
3398,CSS_J171539.3+585151,EW,EW,False,False,98.30070188400444,98.79940893978574,16852,True,True,True
3381,CSS_J052232.0-090826,EW,EW,False,False,98.06058367196158,99.72294052456594,16852,True,True,True
