fila_test,id_objeto,clase,prediccion_rf,mal_clasificado_rf,es_clase_dificil,score_if_percentil_clase,score_lof_percentil_clase,n_train_clase,clase_con_base_suficiente,candidato_fuerte_por_clase,candidato_interesante_por_clase
0,CSS_J173822.3+541006,EW,EW,False,False,13.095677872183229,28.684891023272996,16852,True,False,False
1,CSS_J035942.1+250122,EW,EW,False,False,15.201329885482085,40.56150720354636,16852,True,False,False
2,CSS_J050004.2+005836,EW,EW,False,False,66.54968599926117,51.05282600664943,16852,True,False,False
3,CSS_J052607.7+002624,EW,EW,False,False,97.93128925009236,80.5688954562246,16852,True,False,False
4,CSS_J231219.3+372824,EW,RRc,True,False,82.13889915035094,94.86516438862209,16852,True,False,False
5,CSS_J222826.9+211010,EW,RS CVn,True,False,99.90764684152198,99.88917620982637,16852,True,True,False
6,CSS_J104514.6+521648,EW,EW,False,False,63.68673808644255,66.2356852604359,16852,True,False,False
7,CSS_J040227.2+260434,EW,EW,False,False,79.94089397857407,99.20576283708903,16852,True,False,False
8,CSS_J180350.8+340926,EW,EW,False,False,98.70705578130772,94.9205762837089,16852,True,False,False
9,CSS_J083404.6+124509,RRab,EW,True,False,92.38578680203045,75.38071065989847,1249,True,False,False
10,CSS_J130333.6+154001,RRc,RRc,False,False,3.854389721627409,4.496788008565311,2917,True,False,False
11,CSS_J072817.1+373857,EW,EW,False,False,66.6789804211304,11.100849649057999,16852,True,False,False
12,CSS_J103638.1+030423,EW,EW,False,False,30.051717768747693,49.92611747321759,16852,True,False,False
13,CSS_J142853.6-111124,RRc,RRc,False,False,11.45610278372591,22.269807280513916,2917,True,False,False
14,CSS_J035308.1-024445,EW,EW,False,False,52.641300332471374,13.908385666789805,16852,True,False,False
15,CSS_J232838.0+400336,EW,EW,False,False,83.39490210565201,25.267824159586254,16852,True,False,False
16,CSS_J090504.5+351854,EW,EW,False,False,89.98891762098263,92.79645363871445,16852,True,False,False
17,CSS_J053058.0-034529,RS CVn,EW,True,True,70.58823529411765,71.69117647058823,846,True,False,False
18,CSS_J014920.7+251349,EW,EW,False,False,60.103435537495386,36.55338012560029,16852,True,False,False
19,CSS_J105356.1-135020,LPV,LPV,False,False,50.57471264367817,54.02298850574713,281,True,False,False
20,CSS_J170752.8+413315,RS CVn,RS CVn,False,True,25.0,34.92647058823529,846,True,False,False
21,CSS_J054257.5-123940,EW,EW,False,False,93.88622090875508,27.44735869966753,16852,True,False,False
22,CSS_J164633.5+051427,RS CVn,RS CVn,False,True,18.38235294117647,0.7352941176470588,846,True,False,False
23,CSS_J213424.1+094601,RRab,RRab,False,False,82.99492385786802,54.82233502538071,1249,True,False,False
24,CSS_J082957.9+175739,EW,EW,False,False,78.38936091614333,51.533062430735136,16852,True,False,False
25,CSS_J201309.7-133403,RRab,RRab,False,False,81.97969543147208,96.19289340101524,1249,True,False,False
26,CSS_J074530.0+372258,RRc,RRc,False,False,89.50749464668094,95.07494646680942,2917,True,False,False
27,CSS_J034021.1-144648,EW,EW,False,False,70.57628370890285,45.068341337273736,16852,True,False,False
28,CSS_J172318.3+315245,EA,EA,False,False,14.373464373464373,16.461916461916463,2597,True,False,False
29,CSS_J165242.9+073623,RS CVn,RS CVn,False,True,45.220588235294116,10.661764705882353,846,True,False,False
30,CSS_J154619.1+363404,RRd,RRc,True,True,11.76470588235294,30.58823529411765,258,True,False,False
31,CSS_J072339.0+295500,EW,EW,False,False,51.292944218692284,12.892500923531585,16852,True,False,False
32,CSS_J125741.5-082900,RRc,RRc,False,False,49.78586723768736,67.55888650963597,2917,True,False,False
33,CSS_J015733.5+375717,EW,EA,True,False,95.06834133727374,28.629479128186187,16852,True,False,False
34,CSS_J045031.6+033737,EW,EW,False,False,37.40302918359808,68.19357222016993,16852,True,False,False
35,CSS_J100810.9+605837,EW,EW,False,False,6.076837827853713,7.591429626893239,16852,True,False,False
36,CSS_J073437.3+532334,EW,EW,False,False,27.170299224233467,41.226449944588104,16852,True,False,False
37,CSS_J215117.9-131022,RRc,RRc,False,False,4.389721627408994,47.644539614561026,2917,True,False,False
38,CSS_J092629.1+301034,RS CVn,RS CVn,False,True,88.97058823529412,77.20588235294117,846,True,False,False
39,CSS_J033933.6+284337,EW,EW,False,False,24.473586996675287,31.954192833394902,16852,True,False,False
