fila_test,id_objeto,clase,prediccion_rf,mal_clasificado_rf,es_clase_dificil,score_isolation_forest,score_lof,rank_if,rank_lof,candidato_fuerte_global,candidato_interesante_global,score_if_percentil_clase,score_lof_percentil_clase,n_train_clase,clase_con_base_suficiente,candidato_fuerte_por_clase,candidato_interesante_por_clase,candidato_robusto,candidato_robusto_interesante
7691,CSS_J160450.1+520159,EA,LPV,True,False,0.7315638000430382,2.076655332012028,26,17,True,False,100.0,100.0,2597,True,True,False,True,False
5115,CSS_J103704.9-103740,EW,EW,False,False,0.707181406885581,3.429699576612673,37,1,True,True,99.92611747321756,99.92611747321756,16852,True,True,True,True,True
5686,CSS_J161804.2+093650,EW,EW,False,False,0.705504042540514,2.196848644738904,39,12,True,True,99.9445881049132,99.87070557813075,16852,True,True,True,True,True
2146,CSS_J215105.2+220703,RRab,EW,True,False,0.6852226929913953,1.6953466592256174,50,59,True,False,100.0,100.0,1249,True,True,False,True,False
2389,CSS_J152018.5-045507,EW,EW,False,False,0.681530658807161,1.9089039117064224,55,30,True,True,99.87070557813075,99.74141115626152,16852,True,True,True,True,True
5,CSS_J222826.9+211010,EW,RS CVn,True,False,0.6667276024458992,2.055325108076833,63,19,True,False,99.90764684152198,99.88917620982636,16852,True,True,False,True,False
2853,CSS_J074539.3+501225,EW,EW,False,False,0.6661397010352228,1.5713655493024348,64,101,True,True,99.68599926117471,98.76246767639452,16852,True,True,True,True,True
7423,CSS_J175050.6+500249,EA,EA,False,False,0.6492935699569942,1.771322139262511,78,44,True,True,99.75429975429977,99.5085995085995,2597,True,True,True,True,True
6820,CSS_J073827.2+213317,EW,RS CVn,True,False,0.6351021554552346,2.3742692966378405,92,5,True,False,99.79682305134835,99.9445881049132,16852,True,True,False,True,False
4830,CSS_J210351.9-005926,EW,RRab,True,False,0.6174365530682414,2.235196988533464,108,8,True,False,99.64905799778352,99.85223494643516,16852,True,True,False,True,False
464,CSS_J060230.9-084931,EW,EW,False,False,0.6114409413122611,1.5295028630017775,122,132,True,True,99.46435168082748,98.1898780938308,16852,True,True,True,True,True
5295,CSS_J151807.3-161901,EW,RRab,True,False,0.5940481342181158,1.7810260563557474,141,42,True,False,99.40893978574069,99.64905799778352,16852,True,True,False,True,False
5187,CSS_J042959.5+243307,RS CVn,EW,True,True,0.5925251505147544,2.1972555001036813,144,11,True,False,100.0,98.89705882352942,846,True,True,False,True,False
1078,CSS_J032032.9+263443,EW,EW,False,False,0.590706077133544,1.8763337154226691,149,32,True,True,99.50129294421868,99.66752862947914,16852,True,True,True,True,True
5047,CSS_J151414.2-072807,EW,EW,False,False,0.5880516273661405,1.718509331956455,156,53,True,True,99.1688215736978,99.5382342076099,16852,True,True,True,True,True
