clase_real,recall_sin_period,recall_con_period,diferencia
ACEP,0.15789473684210525,0.2631578947368421,0.10526315789473684
Cep-II,0.17592592592592593,0.2777777777777778,0.10185185185185186
ELL,0.04666666666666667,0.05333333333333334,0.006666666666666668
PCEB,0.4025974025974026,0.4025974025974026,0.0
HADS,0.0594059405940594,0.0594059405940594,0.0
LADS,0.14285714285714285,0.14285714285714285,0.0
Beta_Lyrae,0.1111111111111111,0.10727969348659004,-0.0038314176245210635
Blazhko,0.06557377049180328,0.04918032786885246,-0.016393442622950824
Hump,0.08695652173913043,0.043478260869565216,-0.043478260869565216
EA_UP,0.40425531914893614,0.3475177304964539,-0.05673758865248224
