clase_real,recall_BASE,recall_BASE_MAS_FOURIER,recall_SOLO_FOURIER,diferencia_BASE_MAS_FOURIER
Hump,0.043478260869565216,0.17391304347826086,0.043478260869565216,0.13043478260869565
PCEB,0.4025974025974026,0.4155844155844156,0.2597402597402597,0.012987012987012991
LADS,0.14285714285714285,0.14285714285714285,0.0,0.0
Beta_Lyrae,0.10727969348659004,0.09961685823754789,0.06513409961685823,-0.007662835249042155
ELL,0.05333333333333334,0.04,0.05333333333333334,-0.013333333333333336
HADS,0.0594059405940594,0.04455445544554455,0.0049504950495049506,-0.01485148514851485
Blazhko,0.04918032786885246,0.01639344262295082,0.04918032786885246,-0.032786885245901634
EA_UP,0.3475177304964539,0.24113475177304963,0.1347517730496454,-0.10638297872340427
Cep-II,0.2777777777777778,0.10185185185185185,0.018518518518518517,-0.17592592592592593
ACEP,0.2631578947368421,0.03508771929824561,0.0,-0.22807017543859648
